Player_ID,Season,Lg,Player,Age,Tm,STL,BLK
m/mobleev01,2024-25,NBA,Evan Mobley,23,CLE,0.9,1.6
g/goberru01,2023-24,NBA,Rudy Gobert,31,MIN,0.7,2.1
j/jacksja02,2022-23,NBA,Jaren Jackson Jr.,23,MEM,1.0,3.0
s/smartma01,2021-22,NBA,Marcus Smart,27,BOS,1.7,0.3
g/goberru01,2020-21,NBA,Rudy Gobert,28,UTA,0.6,2.7
a/antetgi01,2019-20,NBA,Giannis Antetokounmpo,25,MIL,1.0,1.0
g/goberru01,2018-19,NBA,Rudy Gobert,26,UTA,0.8,2.3
g/goberru01,2017-18,NBA,Rudy Gobert,25,UTA,0.8,2.3
g/greendr01,2016-17,NBA,Draymond Green,26,GSW,2.0,1.4
l/leonaka01,2015-16,NBA,Kawhi Leonard,24,SAS,1.8,1.0
l/leonaka01,2014-15,NBA,Kawhi Leonard,23,SAS,2.3,0.8
n/noahjo01,2013-14,NBA,Joakim Noah,28,CHI,1.2,1.5
g/gasolma01,2012-13,NBA,Marc Gasol,28,MEM,1.0,1.7
c/chandty01,2011-12,NBA,Tyson Chandler,29,NYK,0.9,1.4
h/howardw01,2010-11,NBA,Dwight Howard,25,ORL,1.4,2.4
h/howardw01,2009-10,NBA,Dwight Howard,24,ORL,0.9,2.8
h/howardw01,2008-09,NBA,Dwight Howard,23,ORL,1.0,2.9
g/garneke01,2007-08,NBA,Kevin Garnett,31,BOS,1.4,1.3
c/cambyma01,2006-07,NBA,Marcus Camby,32,DEN,1.2,3.3
w/wallabe01,2005-06,NBA,Ben Wallace,31,DET,1.8,2.2
w/wallabe01,2004-05,NBA,Ben Wallace,30,DET,1.4,2.4
a/artesro01,2003-04,NBA,Metta World Peace,24,IND,2.1,0.7
w/wallabe01,2002-03,NBA,Ben Wallace,28,DET,1.4,3.2
w/wallabe01,2001-02,NBA,Ben Wallace,27,DET,1.7,3.5
m/mutomdi01,2000-01,NBA,Dikembe Mutombo,34,TOT,0.4,2.7
m/mournal01,1999-00,NBA,Alonzo Mourning,29,MIA,0.5,3.7
m/mournal01,1998-99,NBA,Alonzo Mourning,28,MIA,0.7,3.9
m/mutomdi01,1997-98,NBA,Dikembe Mutombo,31,ATL,0.4,3.4
m/mutomdi01,1996-97,NBA,Dikembe Mutombo,30,ATL,0.6,3.3
p/paytoga01,1995-96,NBA,Gary Payton,27,SEA,2.9,0.2
m/mutomdi01,1994-95,NBA,Dikembe Mutombo,28,DEN,0.5,3.9
o/olajuha01,1993-94,NBA,Hakeem Olajuwon,31,HOU,1.6,3.7
o/olajuha01,1992-93,NBA,Hakeem Olajuwon,30,HOU,1.8,4.2
r/robinda01,1991-92,NBA,David Robinson,26,SAS,2.3,4.5
r/rodmade01,1990-91,NBA,Dennis Rodman,29,DET,0.8,0.7
r/rodmade01,1989-90,NBA,Dennis Rodman,28,DET,0.6,0.7
e/eatonma01,1988-89,NBA,Mark Eaton,32,UTA,0.5,3.8
j/jordami01,1987-88,NBA,Michael Jordan,24,CHI,3.2,1.6
c/coopemi01,1986-87,NBA,Michael Cooper,30,LAL,1.0,0.5
r/roberal01,1985-86,NBA,Alvin Robertson,23,SAS,3.7,0.5
e/eatonma01,1984-85,NBA,Mark Eaton,28,UTA,0.4,5.6
m/moncrsi01,1983-84,NBA,Sidney Moncrief,26,MIL,1.4,0.3
m/moncrsi01,1982-83,NBA,Sidney Moncrief,25,MIL,1.5,0.3
